PERSON_ID,GENDER,AGE,JOB TYPE
PERSON_0000000000,male,30,non_salaried
PERSON_0000000001,male,60,non_salaried
PERSON_0000000002,male,40,job_type3
PERSON_0000000003,female,40,job_type3
PERSON_0000000004,female,60,job_type4
PERSON_0000000005,male,20,non_salaried
PERSON_0000000006,female,30,job_type5
PERSON_0000000007,male,60,job_type3
PERSON_0000000008,female,30,job_type3
PERSON_0000000009,male,20,non_salaried
PERSON_0000000010,male,30,salaried
PERSON_0000000011,female,20,job_type4
PERSON_0000000012,male,30,job_type3
PERSON_0000000013,female,20,job_type4
PERSON_0000000014,male,60,salaried
PERSON_0000000015,female,40,job_type4
PERSON_0000000016,male,60,job_type3
PERSON_0000000017,male,30,salaried
PERSON_0000000018,male,60,job_type5
PERSON_0000000019,female,20,job_type3
PERSON_0000000020,male,30,job_type4
PERSON_0000000021,female,30,salaried
PERSON_0000000022,male,30,salaried
PERSON_0000000023,male,30,job_type4
PERSON_0000000024,female,60,job_type5
PERSON_0000000025,female,60,non_salaried
PERSON_0000000026,female,60,job_type5
PERSON_0000000027,male,60,job_type3
PERSON_0000000028,male,20,non_salaried
PERSON_0000000029,male,40,job_type3
PERSON_0000000030,male,60,job_type4
PERSON_0000000031,male,40,non_salaried
PERSON_0000000032,male,20,non_salaried
PERSON_0000000033,female,60,job_type3
PERSON_0000000034,female,20,job_type4
PERSON_0000000035,male,20,job_type5
PERSON_0000000036,male,60,salaried
PERSON_0000000037,male,20,salaried
PERSON_0000000038,female,60,salaried
PERSON_0000000039,female,40,job_type3
PERSON_0000000040,female,40,job_type3
PERSON_0000000041,male,30,non_salaried
PERSON_0000000042,male,20,job_type4
PERSON_0000000043,female,20,salaried
PERSON_0000000044,male,60,non_salaried
PERSON_0000000045,male,40,salaried
PERSON_0000000046,female,40,job_type5
PERSON_0000000047,female,30,job_type3
PERSON_0000000048,male,30,job_type4
PERSON_0000000049,female,60,job_type4
PERSON_0000000050,male,40,job_type4
PERSON_0000000051,male,30,job_type4
PERSON_0000000052,male,60,job_type3
PERSON_0000000053,female,30,job_type4
PERSON_0000000054,male,20,non_salaried
PERSON_0000000055,female,40,non_salaried
PERSON_0000000056,female,20,job_type5
PERSON_0000000057,female,40,non_salaried
PERSON_0000000058,female,60,salaried
PERSON_0000000059,female,60,salaried
PERSON_0000000060,male,60,job_type3
PERSON_0000000061,male,60,job_type3
PERSON_0000000062,male,60,job_type4
PERSON_0000000063,male,20,non_salaried
PERSON_0000000064,male,60,non_salaried
PERSON_0000000065,male,20,job_type3
PERSON_0000000066,male,20,job_type3
PERSON_0000000067,male,30,job_type4
PERSON_0000000068,male,20,job_type5
PERSON_0000000069,female,30,job_type5
PERSON_0000000070,female,20,non_salaried
PERSON_0000000071,female,30,salaried
PERSON_0000000072,female,30,job_type5
PERSON_0000000073,female,60,non_salaried
PERSON_0000000074,male,60,salaried
PERSON_0000000075,female,30,job_type5
PERSON_0000000076,female,30,job_type3
PERSON_0000000077,male,60,job_type5
PERSON_0000000078,male,40,job_type5
PERSON_0000000079,male,60,job_type3
PERSON_0000000080,female,30,job_type4
PERSON_0000000081,female,60,job_type4
PERSON_0000000082,female,30,salaried
PERSON_0000000083,male,40,job_type4
PERSON_0000000084,male,30,non_salaried
PERSON_0000000085,male,20,job_type4
PERSON_0000000086,male,60,job_type3
PERSON_0000000087,male,40,job_type3
PERSON_0000000088,female,30,salaried
PERSON_0000000089,male,60,salaried
PERSON_0000000090,female,20,job_type3
PERSON_0000000091,male,60,job_type3
PERSON_0000000092,female,40,job_type3
PERSON_0000000093,male,40,job_type3
PERSON_0000000094,male,40,salaried
PERSON_0000000095,female,20,job_type3
PERSON_0000000096,male,60,job_type5
PERSON_0000000097,female,40,job_type3
PERSON_0000000098,male,20,job_type3
PERSON_0000000099,female,40,job_type5
PERSON_0000000100,female,40,job_type3
PERSON_0000000101,male,60,job_type4
PERSON_0000000102,male,20,job_type5
PERSON_0000000103,male,60,job_type5
PERSON_0000000104,female,40,job_type3
PERSON_0000000105,male,30,job_type4
PERSON_0000000106,female,60,salaried
PERSON_0000000107,male,60,job_type5
PERSON_0000000108,male,30,job_type4
PERSON_0000000109,male,30,non_salaried
PERSON_0000000110,female,20,job_type5
PERSON_0000000111,female,60,salaried
PERSON_0000000112,female,60,job_type4
PERSON_0000000113,male,30,job_type5
PERSON_0000000114,female,40,job_type5
PERSON_0000000115,female,40,salaried
PERSON_0000000116,male,40,job_type5
PERSON_0000000117,male,60,job_type5
PERSON_0000000118,male,20,job_type3
PERSON_0000000119,male,40,job_type4
PERSON_0000000120,female,40,salaried
PERSON_0000000121,male,20,non_salaried
PERSON_0000000122,female,30,job_type3
PERSON_0000000123,female,40,non_salaried
PERSON_0000000124,female,60,salaried
PERSON_0000000125,male,30,job_type5
PERSON_0000000126,male,30,non_salaried
PERSON_0000000127,male,20,job_type5
PERSON_0000000128,male,60,job_type3
PERSON_0000000129,female,30,job_type5
PERSON_0000000130,male,30,non_salaried
PERSON_0000000131,female,20,non_salaried
PERSON_0000000132,male,40,non_salaried
PERSON_0000000133,male,40,non_salaried
PERSON_0000000134,female,40,job_type3
PERSON_0000000135,male,30,salaried
PERSON_0000000136,female,60,job_type4
PERSON_0000000137,female,20,salaried
PERSON_0000000138,female,20,job_type3
PERSON_0000000139,female,30,job_type5
PERSON_0000000140,male,40,salaried
